[ 0.01917583  0.01971805  0.01877959]
[ 0.01857104  0.02058351  0.02050009]
[ 0.02013514  0.0205418   0.01983275]
[ 0.01956164  0.02129257  0.02075035]
[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
Target: 3.4936919451

[ 0.01152218  0.0147755   0.01449396]
[ 0.01432713  0.01875873  0.01670455]
[ 0.01607891  0.01734062  0.0159225 ]
[ 0.01655857  0.01835207  0.0174866 ]
[ 0.01917583  0.01971805  0.01877959]
[ 0.01857104  0.02058351  0.02050009]
[ 0.02013514  0.0205418   0.01983275]
[ 0.01956164  0.02129257  0.02075035]
[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
Target: -0.817146684528

[ 0.01432713  0.01875873  0.01670455]
[ 0.01607891  0.01734062  0.0159225 ]
[ 0.01655857  0.01835207  0.0174866 ]
[ 0.01917583  0.01971805  0.01877959]
[ 0.01857104  0.02058351  0.02050009]
[ 0.02013514  0.0205418   0.01983275]
[ 0.01956164  0.02129257  0.02075035]
[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
Target: -5.02431118314

[ 0.01607891  0.01734062  0.0159225 ]
[ 0.01655857  0.01835207  0.0174866 ]
[ 0.01917583  0.01971805  0.01877959]
[ 0.01857104  0.02058351  0.02050009]
[ 0.02013514  0.0205418   0.01983275]
[ 0.01956164  0.02129257  0.02075035]
[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
Target: 6.31399317406

[ 0.01655857  0.01835207  0.0174866 ]
[ 0.01917583  0.01971805  0.01877959]
[ 0.01857104  0.02058351  0.02050009]
[ 0.02013514  0.0205418   0.01983275]
[ 0.01956164  0.02129257  0.02075035]
[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
Target: 15.4360620653

[ 0.01917583  0.01971805  0.01877959]
[ 0.01857104  0.02058351  0.02050009]
[ 0.02013514  0.0205418   0.01983275]
[ 0.01956164  0.02129257  0.02075035]
[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
Target: 8.67902665122

[ 0.01857104  0.02058351  0.02050009]
[ 0.02013514  0.0205418   0.01983275]
[ 0.01956164  0.02129257  0.02075035]
[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
[ 0.0230235   0.0261517   0.02613084]
[ 0.0268399   0.02783049  0.02549478]
[ 0.02549478  0.02604742  0.02161582]
[ 0.02351359  0.02664178  0.02624554]
[ 0.03723593  0.04232446  0.03827866]
[ 0.04029113  0.04975913  0.04608872]
Target: -2.98539289903

[ 0.02013514  0.0205418   0.01983275]
[ 0.01956164  0.02129257  0.02075035]
[ 0.02068779  0.0211883   0.02016642]
[ 0.01979104  0.02076078  0.01888386]
[ 0.0184772   0.02010386  0.01999958]
[ 0.02308607  0.02321119  0.02182436]
[ 0.02188693  0.02259598  0.02239786]
[ 0.02394111  0.02422264  0.02350316]
